country,country_kr,flag,region,bigmac_price_usd,gdp_per_capita_usd,bigmac_affordability_index,signature_menu,gdp_year,price_data_date,source,menu_image_url,image_verified
Jordan,요르단,🇯🇴,middle-east,3.53,5347.8,1515.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Moldova,몰도바,🇲🇩,europe,3.52,8621.7,2449.3,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
China,중국,🇨🇳,asia,3.52,13862.0,3938.1,麦辣鸡腿堡 (Spicy Chicken Burger),2025,2025-01-01,The Economist Big Mac Index,https://i.namu.wiki/i/rWcUaY3OpY8cISX1X6PtnQNs64BlUax27KlH6rH97A7THamM3sz260-sYULdZMSAdOiuAdNgpzm5gt0fZlBfBw.webp,False
Romania,루마니아,🇷🇴,europe,3.43,22538.0,6570.8,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Japan,일본,🇯🇵,asia,3.11,35951.0,11559.8,데리야키맥버거,2025,2025-01-01,The Economist Big Mac Index,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c8e4e6182b431e7efcbd56b00b2e8e73c0d0c8f2.jpg,True
Hong Kong,홍콩,🇭🇰,asia,3.08,56983.1,18501.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Vietnam,베트남,🇻🇳,asia,3.03,5066.0,1671.9,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Malaysia,말레이시아,🇲🇾,asia,3.0,13124.6,4374.9,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Philippines,필리핀,🇵🇭,asia,2.89,4170.7,1443.1,Chicken McDo & McSpaghetti,2025,2025-01-01,The Economist Big Mac Index,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2d103388a6c72ea2ffbcaed7076e39c8088e5927.jpg,True
Ukraine,우크라이나,🇺🇦,europe,2.86,5865.9,2051.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
South Africa,남아프리카공화국,🇿🇦,africa,2.78,6597.7,2373.3,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Egypt,이집트,🇪🇬,africa,2.69,3085.8,1147.1,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
India,인도,🇮🇳,asia,2.62,2702.5,1031.5,맥알루티키,2025,2025-01-01,The Economist Big Mac Index,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/68ec7fafeb790ad92651df32b89df1bed604ff24.jpg,True
Indonesia,인도네시아,🇮🇩,asia,2.54,5059.6,1992.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Taiwan,대만,🇹🇼,asia,2.38,32316.0,13578.2,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
